user_id,user_name,age,gender,region,subscription_type,subscription_start_date,subscription_end_date,is_active,device_type,content_id,content_title,genre,content_type,language,release_year,avg_watch_time_per_day,total_watch_time,watch_date,watch_duration,completion_rate,rating_given,liked,recommended_content_ids,last_login_time,total_sessions_per_week,avg_stream_quality,peak_watch_hour,network_speed_mbps,buffering_count,payment_method,monthly_spend,churn_flag,account_creation_date,
U10000,Heather Morales,36,Female,Kerala,Standard,24-06-2024,31-05-2025,1,Tablet,C1267,Adaptive full-range secured line,Documentary,Series,Tamil,2015,73.11,5953.69,20-10-2025,163.33,42.18,1.7,0,"C1249, C1476, C1485",10-11-2025 15:35,23,480p,14,51.41,0,UPI,649,0,12-10-2023,
U10001,Roy Ritter,22,Female,Maharashtra,Standard,24-06-2024,15-01-2025,1,Tablet,C1368,Open-architected intangible time-frame,Sci-Fi,Movie,Tamil,2017,44.49,3392.53,30-09-2025,29.56,87.77,2.8,0,"C1062, C1300, C1183",06-11-2025 00:40,22,4K,16,64.78,3,UPI,799,0,30-09-2023,
U10002,Jamie Johnson,27,Other,Uttar Pradesh,Standard,13-04-2024,21-01-2025,1,Laptop,C1297,Exclusive real-time capacity,Drama,Movie,Japanese,2024,91.23,4349.78,03-07-2025,132.15,42.49,3.3,0,"C1061, C1352, C1303",03-11-2025 03:30,27,1080p,15,98.66,5,Debit Card,649,0,04-09-2023,
U10003,Tina Miller,55,Female,Kerala,Premium,13-09-2024,21-08-2025,1,Smart TV,C1283,Intuitive discrete secured line,Drama,Series,English,2017,96.59,5661.75,04-08-2025,145.64,51.4,4.6,1,"C1295, C1285, C1304",01-11-2025 14:00,20,480p,14,69.38,3,Credit Card,199,0,20-12-2023,
U10004,Michael Jenkins,27,Male,Tamil Nadu,Basic,26-06-2024,23-02-2025,1,Smart TV,C1062,Realigned explicit Graphical User Interface,Drama,Series,Telugu,2020,140.22,9017.31,18-09-2025,111.85,51.36,4.2,1,"C1112, C1457, C1066",07-11-2025 23:34,7,720p,14,53.15,1,Debit Card,799,0,15-01-2024,
U10005,Nicole Miller,16,Male,Tamil Nadu,Standard,03-06-2024,18-04-2025,1,Smart TV,C1391,Front-line reciprocal hub,Drama,Series,Spanish,2020,159.35,13732.46,21-09-2025,163.05,88.25,1.3,0,"C1009, C1167, C1288",08-11-2025 09:45,22,480p,15,29.07,3,UPI,499,0,17-11-2023,
U10006,David Wilson,26,Female,Delhi,Standard,01-08-2024,04-04-2025,1,Tablet,C1329,Expanded client-server support,Action,Documentary,Spanish,2020,80.55,3819.87,10-10-2025,149.13,79.02,2.4,0,"C1116, C1055, C1235",10-11-2025 05:33,30,4K,9,8.23,1,Debit Card,649,0,07-10-2023,
U10007,Gary Little,45,Other,Kerala,Basic,10-09-2024,13-06-2025,1,Mobile,C1224,Self-enabling impactful support,Comedy,Series,Japanese,2024,147.49,1533.49,27-10-2025,15.17,59.55,1.3,0,"C1405, C1182, C1099",31-10-2025 23:14,15,720p,22,57.53,1,UPI,199,0,15-05-2024,
U10008,Zachary Williams,16,Female,Karnataka,Premium,15-06-2024,11-03-2025,1,Smart TV,C1174,Reverse-engineered asymmetric application,Thriller,Documentary,Hindi,2017,82.86,4401.59,05-08-2025,62.1,74.92,2.3,0,"C1340, C1315, C1097",04-11-2025 01:37,19,480p,13,45.51,0,UPI,649,0,25-10-2023,
U10009,Marcus Berry,20,Other,Kerala,Basic,18-05-2024,26-02-2025,1,Tablet,C1029,Cross-platform heuristic hardware,Documentary,Series,Korean,2015,161.98,14955.06,27-08-2025,98.08,73.49,1.7,0,"C1456, C1224, C1490",03-11-2025 05:56,19,480p,21,8.17,3,Debit Card,199,0,05-10-2023,
U10010,Amanda Clark,35,Female,Maharashtra,Premium,22-02-2024,15-11-2024,0,Laptop,C1488,Right-sized system-worthy contingency,Action,Series,Japanese,2022,77.69,1623.11,08-11-2025,115.26,45.21,4.9,1,"C1441, C1059, C1408",04-11-2025 18:22,3,720p,3,6.06,5,UPI,649,0,22-07-2023,
U10011,Jennifer Solis,33,Female,Tamil Nadu,Standard,06-12-2023,04-08-2024,0,Mobile,C1417,Horizontal multimedia collaboration,Horror,Movie,English,2016,162.36,3250.76,04-07-2025,98.98,59.54,2.8,0,"C1424, C1487, C1434",01-11-2025 17:05,29,480p,8,47.27,4,Credit Card,199,1,20-05-2023,
U10012,Mary Smith,20,Male,West Bengal,Basic,29-10-2024,07-06-2025,1,Smart TV,C1037,Diverse national success,Horror,Series,English,2019,175.41,15829.14,13-05-2025,106.5,63.08,3.9,0,"C1005, C1221, C1174",03-11-2025 07:54,14,1080p,16,79.55,4,Debit Card,199,0,25-09-2024,
U10013,Richard Gonzalez,34,Other,Karnataka,Standard,25-11-2023,05-07-2024,0,Laptop,C1003,Optimized well-modulated intranet,Documentary,Documentary,Telugu,2019,115.85,9128.2,22-05-2025,159.2,61.39,3.6,0,"C1240, C1373, C1308",01-11-2025 18:07,4,4K,14,59.79,0,Debit Card,499,1,29-06-2023,
U10014,Michael Reid,18,Other,Kerala,Standard,19-09-2024,14-09-2025,1,Laptop,C1030,Balanced coherent monitoring,Comedy,Series,Spanish,2016,85.1,5027.7,07-11-2025,147.6,74.64,1.5,0,"C1108, C1273, C1452",09-11-2025 15:46,9,4K,4,95.89,4,Wallet,799,0,22-04-2024,
U10015,Craig Huynh,50,Female,Kerala,Premium,02-02-2024,17-11-2024,0,Tablet,C1301,Intuitive systemic task-force,Comedy,Documentary,Japanese,2017,66.44,870.14,30-08-2025,99.45,73.02,1.3,0,"C1469, C1024, C1066",06-11-2025 12:48,15,720p,17,75.68,3,UPI,799,1,18-05-2023,
U10016,William Luna,39,Other,Delhi,Standard,24-01-2024,08-10-2024,0,Mobile,C1282,User-friendly uniform moderator,Sci-Fi,Series,Korean,2022,138.9,7340.96,05-06-2025,96.14,97.88,4,1,"C1102, C1236, C1220",05-11-2025 20:50,30,1080p,7,65.66,3,UPI,649,0,12-04-2023,
